iter	RMSE
581	58.61827175
582	58.58210774
583	58.55549695
584	58.52586704
585	58.49921862
586	58.48030322
587	58.4489095
588	58.42357012
589	58.39458254
590	58.36863825
591	58.34998933
592	58.33023662
593	58.30254706
594	58.27067722
595	58.22987154
596	58.20747291
597	58.18191496
598	58.15471228
599	58.13073137
600	58.10088618
601	58.07358679
602	58.05909517
603	58.0375515
604	58.01733104
605	57.98427458
606	57.96122898
607	57.9364654
608	57.91418693
609	57.88315196
610	57.8481679
611	57.80897968
612	57.78530169
613	57.75764917
614	57.73307742
615	57.71536178
616	57.69926183
617	57.67239619
618	57.65634539
619	57.63198179
620	57.60792429
621	57.57830556
622	57.53259853
623	57.5143104
624	57.49603142
625	57.48441111
626	57.464442
627	57.42656661
628	57.4076659
629	57.38106523
630	57.35528656
631	57.33205445
632	57.31133894
633	57.29228563
634	57.26345228
635	57.22948975
636	57.20581579
637	57.17445056
638	57.15109428
639	57.12272629
640	57.09763065
641	57.07159188
642	57.05010161
643	57.03748713
644	57.00443643
645	56.98137436
646	56.95686606
647	56.93700619
648	56.91573838
649	56.89309655
650	56.86807926
651	56.85330316
652	56.82795886
653	56.81056839
654	56.78617365
655	56.75186178
656	56.72781293
657	56.71055186
658	56.68911636
659	56.67610797
660	56.6607248
661	56.63612149
662	56.61220471
663	56.58239081
664	56.55889881
665	56.54092351
666	56.51490234
667	56.48851153
668	56.46685818
669	56.44647149
670	56.42044255
671	56.39499526
672	56.36719359
673	56.34583681
674	56.31593198
675	56.28894449
676	56.26730544
677	56.24804361
678	56.23123163
679	56.20801387
680	56.18115372
681	56.15384788
682	56.13415478
683	56.11831721
684	56.09511165
685	56.07385805
686	56.04977322
687	56.02625227
688	56.00892245
689	55.98831013
690	55.97148616
691	55.95642195
692	55.93085898
693	55.90012696
694	55.88279064
695	55.85201933
696	55.83719772
697	55.80643078
698	55.78694524
699	55.76871429
700	55.74694488
701	55.7323903
702	55.71087978
703	55.70107353
704	55.67853049
705	55.64965164
706	55.6318734
707	55.60055509
708	55.58478951
709	55.55909787
710	55.53784232
711	55.51519025
712	55.49575882
713	55.47371986
714	55.46017638
715	55.42850045
716	55.40302249
717	55.38245569
718	55.35729329
719	55.33858253
720	55.30150122
721	55.27735406
722	55.25163923
723	55.22923664
724	55.21374133
725	55.19208116
726	55.16231053
727	55.14382667
728	55.10838346
729	55.09459564
730	55.06606059
731	55.04058138
732	55.02461802
733	55.00453792
734	54.98076043
735	54.96295652
736	54.94454219
737	54.92034247
738	54.8956991
739	54.88735436
740	54.86658942
741	54.84218817
742	54.82421951
743	54.80331437
744	54.78197552
745	54.76171843
746	54.75031057
747	54.72970342
748	54.70932416
749	54.69231105
750	54.67043435
751	54.653748
752	54.63458482
753	54.61309486
754	54.59857516
755	54.5801507
756	54.53333993
757	54.51204419
758	54.49291702
759	54.4732777
760	54.44279197
761	54.4140751
762	54.39314024
763	54.36308532
764	54.33608508
765	54.32229207
766	54.29846474
767	54.27826546
768	54.26660482
769	54.2476337
770	54.22629526
771	54.21032461
772	54.18855063
773	54.17274918
774	54.15466573
775	54.12968309
776	54.10153038
777	54.08094561
778	54.067948
779	54.05230666
780	54.04004205
781	54.0254537
782	54.0056296
783	53.98576982
784	53.96864379
785	53.95013831
786	53.93619933
787	53.92517597
788	53.91281441
789	53.89690103
790	53.87317115
791	53.85402402
792	53.82987763
793	53.80662122
794	53.78018592
795	53.76349426
796	53.74617585
797	53.72472439
798	53.71061029
799	53.67829042
800	53.65176894
801	53.64373989
802	53.62937124
803	53.60775981
804	53.58229667
805	53.55754489
806	53.52641639
807	53.50200587
808	53.47920239
809	53.46529039
810	53.44587087
811	53.42345547
812	53.39911143
813	53.37797761
814	53.36051796
815	53.34191077
816	53.3107656
817	53.29055916
818	53.27013984
819	53.25194584
820	53.22162383
821	53.195751
822	53.17299816
823	53.1588059
824	53.14241069
825	53.12682104
826	53.10334496
827	53.07971563
828	53.04944162
829	53.03454286
830	53.00549831
831	52.98603881
832	52.96314671
833	52.94031786
834	52.91883364
835	52.90397694
836	52.89206969
837	52.87557713
838	52.86432807
839	52.85047433
840	52.83433655
841	52.81799052
842	52.80082736
843	52.78660616
844	52.76826432
845	52.75218615
846	52.73184625
847	52.72036573
848	52.69788005
849	52.6806122
850	52.66983982
851	52.64029441
852	52.61651814
853	52.5996386
854	52.57051037
855	52.55584543
856	52.53926051
857	52.52025065
858	52.49686995
859	52.48335031
860	52.46632287
861	52.45869038
862	52.44818708
863	52.43323052
864	52.40350592
865	52.39281703
866	52.37380645
867	52.36657865
868	52.35089943
869	52.33477112
870	52.31872448
871	52.30897473
872	52.29191016
873	52.27313217
874	52.25804045
875	52.24523797
876	52.22798177
877	52.21329382
878	52.19568114
879	52.18502514
880	52.16597772
881	52.15256482
882	52.13977924
883	52.11309473
884	52.09864499
885	52.09165042
886	52.06968307
887	52.05782652
888	52.04392739
889	52.02416
890	52.00679763
891	51.98331051
892	51.96802296
893	51.95310764
894	51.92902219
895	51.91108927
896	51.88983213
897	51.86755214
898	51.85357881
899	51.83594367
900	51.82424338
901	51.7974495
902	51.7752508
903	51.75503695
904	51.73205082
905	51.72121053
906	51.71142041
907	51.68892908
908	51.68036979
909	51.67069101
910	51.65670278
911	51.64094922
912	51.62409431
913	51.60917543
914	51.59239386
915	51.58450417
916	51.57132087
917	51.55695408
918	51.54773758
919	51.53459906
920	51.52492045
921	51.50948913
922	51.49246146
923	51.47809216
924	51.45992083
925	51.43464466
926	51.42235721
927	51.39768641
928	51.38475646
929	51.37443262
930	51.35660734
931	51.33868528
932	51.32418118
933	51.3106695
934	51.30149723
935	51.28370022
936	51.26136821
937	51.2452305
938	51.22597815
939	51.20898089
940	51.19278056
941	51.18149423
942	51.16600169
943	51.15296728
944	51.12996168
945	51.10123662
946	51.0871999
947	51.06711815
948	51.05445465
949	51.03603006
950	51.02213831
951	51.0097398
952	50.9971329
953	50.98104069
954	50.96486738
955	50.9422294
956	50.92593413
957	50.90352931
958	50.88891429
959	50.87613084
960	50.85906413
961	50.84592786
962	50.83448053
963	50.82649688
964	50.81434043
965	50.78982045
966	50.77792968
967	50.76379324
968	50.75339234
969	50.7407111
970	50.7278715
971	50.70751671
972	50.69413227
973	50.67961506
974	50.66733654
975	50.64970471
976	50.634429
977	50.61581101
978	50.60631237
979	50.58293844
980	50.56768003
981	50.55431095
982	50.52728615
983	50.50040824
984	50.4862106
985	50.47486547
986	50.4585924
987	50.42792504
988	50.40082821
989	50.38163805
990	50.36048753
991	50.34464245
992	50.33392183
993	50.30525527
994	50.28904262
995	50.27652061
996	50.25787434
997	50.23443666
998	50.21964961
999	50.19416953
