instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,daylight_hours
16,2011-01-01,Spring,0,1,15,0,6,0,Mist,0.44,0.4394,0.77,0.2985,40,70,110,9.489166666666666
17,2011-01-01,Spring,0,1,16,0,6,0,Mist,0.42,0.4242,0.82,0.2985,41,52,93,9.489166666666666
18,2011-01-01,Spring,0,1,17,0,6,0,Mist,0.44,0.4394,0.82,0.2836,15,52,67,9.489166666666666
19,2011-01-01,Spring,0,1,18,0,6,0,Light Snow,0.42,0.4242,0.88,0.2537,9,26,35,9.489166666666666
20,2011-01-01,Spring,0,1,19,0,6,0,Light Snow,0.42,0.4242,0.88,0.2537,6,31,37,9.489166666666666
21,2011-01-01,Spring,0,1,20,0,6,0,Mist,0.4,0.4091,0.87,0.2537,11,25,36,9.489166666666666
22,2011-01-01,Spring,0,1,21,0,6,0,Mist,0.4,0.4091,0.87,0.194,3,31,34,9.489166666666666
23,2011-01-01,Spring,0,1,22,0,6,0,Mist,0.4,0.4091,0.94,0.2239,11,17,28,9.489166666666666
24,2011-01-01,Spring,0,1,23,0,6,0,Mist,0.46,0.4545,0.88,0.2985,15,24,39,9.489166666666666
25,2011-01-02,Spring,0,1,0,0,0,0,Mist,0.46,0.4545,0.88,0.2985,4,13,17,9.500555555555556
26,2011-01-02,Spring,0,1,1,0,0,0,Mist,0.44,0.4394,0.94,0.2537,1,16,17,9.500555555555556
27,2011-01-02,Spring,0,1,2,0,0,0,Mist,0.42,0.4242,1.0,0.2836,1,8,9,9.500555555555556
28,2011-01-02,Spring,0,1,3,0,0,0,Mist,0.46,0.4545,0.94,0.194,2,4,6,9.500555555555556
29,2011-01-02,Spring,0,1,4,0,0,0,Mist,0.46,0.4545,0.94,0.194,2,1,3,9.500555555555556
30,2011-01-02,Spring,0,1,6,0,0,0,Light Snow,0.42,0.4242,0.77,0.2985,0,2,2,9.500555555555556
31,2011-01-02,Spring,0,1,7,0,0,0,Mist,0.4,0.4091,0.76,0.194,0,1,1,9.500555555555556
32,2011-01-02,Spring,0,1,8,0,0,0,Light Snow,0.4,0.4091,0.71,0.2239,0,8,8,9.500555555555556
33,2011-01-02,Spring,0,1,9,0,0,0,Mist,0.38,0.3939,0.76,0.2239,1,19,20,9.500555555555556
34,2011-01-02,Spring,0,1,10,0,0,0,Mist,0.36,0.3485,0.81,0.2239,7,46,53,9.500555555555556
35,2011-01-02,Spring,0,1,11,0,0,0,Mist,0.36,0.3333,0.71,0.2537,16,54,70,9.500555555555556
36,2011-01-02,Spring,0,1,12,0,0,0,Mist,0.36,0.3333,0.66,0.2985,20,73,93,9.500555555555556
37,2011-01-02,Spring,0,1,13,0,0,0,Mist,0.36,0.3485,0.66,0.1343,11,64,75,9.500555555555556
38,2011-01-02,Spring,0,1,14,0,0,0,Light Snow,0.36,0.3485,0.76,0.194,4,55,59,9.500555555555556
39,2011-01-02,Spring,0,1,15,0,0,0,Light Snow,0.34,0.3333,0.81,0.1642,19,55,74,9.500555555555556
40,2011-01-02,Spring,0,1,16,0,0,0,Light Snow,0.34,0.3333,0.71,0.1642,9,67,76,9.500555555555556
41,2011-01-02,Spring,0,1,17,0,0,0,Clear,0.34,0.3333,0.57,0.194,7,58,65,9.500555555555556
42,2011-01-02,Spring,0,1,18,0,0,0,Mist,0.36,0.3333,0.46,0.3284,10,43,53,9.500555555555556
43,2011-01-02,Spring,0,1,19,0,0,0,Clear,0.32,0.2879,0.42,0.4478,1,29,30,9.500555555555556
44,2011-01-02,Spring,0,1,20,0,0,0,Clear,0.3,0.2727,0.39,0.3582,5,17,22,9.500555555555556
45,2011-01-02,Spring,0,1,21,0,0,0,Clear,0.26,0.2273,0.44,0.3284,11,20,31,9.500555555555556
46,2011-01-02,Spring,0,1,22,0,0,0,Clear,0.24,0.2121,0.44,0.2985,0,9,9,9.500555555555556
47,2011-01-02,Spring,0,1,23,0,0,0,Clear,0.22,0.2273,0.47,0.1642,0,8,8,9.500555555555556
48,2011-01-03,Spring,0,1,0,0,1,1,Clear,0.22,0.197,0.44,0.3582,0,5,5,9.513333333333334
49,2011-01-03,Spring,0,1,1,0,1,1,Clear,0.2,0.1667,0.44,0.4179,0,2,2,9.513333333333334
50,2011-01-03,Spring,0,1,4,0,1,1,Clear,0.16,0.1364,0.47,0.3881,0,1,1,9.513333333333334
51,2011-01-03,Spring,0,1,5,0,1,1,Clear,0.16,0.1364,0.47,0.2836,0,3,3,9.513333333333334
52,2011-01-03,Spring,0,1,6,0,1,1,Clear,0.14,0.1061,0.5,0.3881,0,30,30,9.513333333333334
53,2011-01-03,Spring,0,1,7,0,1,1,Clear,0.14,0.1364,0.5,0.194,1,63,64,9.513333333333334
54,2011-01-03,Spring,0,1,8,0,1,1,Clear,0.14,0.1212,0.5,0.2836,1,153,154,9.513333333333334
55,2011-01-03,Spring,0,1,9,0,1,1,Clear,0.16,0.1364,0.43,0.3881,7,81,88,9.513333333333334
56,2011-01-03,Spring,0,1,10,0,1,1,Clear,0.18,0.1667,0.43,0.2537,11,33,44,9.513333333333334
57,2011-01-03,Spring,0,1,11,0,1,1,Clear,0.2,0.1818,0.4,0.3284,10,41,51,9.513333333333334
58,2011-01-03,Spring,0,1,12,0,1,1,Clear,0.22,0.2121,0.35,0.2985,13,48,61,9.513333333333334
59,2011-01-03,Spring,0,1,13,0,1,1,Clear,0.24,0.2121,0.35,0.2836,8,53,61,9.513333333333334
60,2011-01-03,Spring,0,1,14,0,1,1,Clear,0.26,0.2424,0.3,0.2836,11,66,77,9.513333333333334
61,2011-01-03,Spring,0,1,15,0,1,1,Clear,0.26,0.2424,0.3,0.2537,14,58,72,9.513333333333334
62,2011-01-03,Spring,0,1,16,0,1,1,Clear,0.26,0.2424,0.3,0.2537,9,67,76,9.513333333333334
63,2011-01-03,Spring,0,1,17,0,1,1,Clear,0.24,0.2273,0.3,0.2239,11,146,157,9.513333333333334
64,2011-01-03,Spring,0,1,18,0,1,1,Clear,0.24,0.2576,0.32,0.1045,9,148,157,9.513333333333334
65,2011-01-03,Spring,0,1,19,0,1,1,Clear,0.2,0.2576,0.47,0.0,8,102,110,9.513333333333334
66,2011-01-03,Spring,0,1,20,0,1,1,Clear,0.2,0.2273,0.47,0.1045,3,49,52,9.513333333333334
67,2011-01-03,Spring,0,1,21,0,1,1,Clear,0.18,0.197,0.64,0.1343,3,49,52,9.513333333333334
68,2011-01-03,Spring,0,1,22,0,1,1,Clear,0.14,0.1515,0.69,0.1343,0,20,20,9.513333333333334
69,2011-01-03,Spring,0,1,23,0,1,1,Clear,0.18,0.2121,0.55,0.1045,1,11,12,9.513333333333334
70,2011-01-04,Spring,0,1,0,0,2,1,Clear,0.16,0.1818,0.55,0.1045,0,5,5,9.526666666666667
71,2011-01-04,Spring,0,1,1,0,2,1,Clear,0.16,0.1818,0.59,0.1045,0,2,2,9.526666666666667
72,2011-01-04,Spring,0,1,2,0,2,1,Clear,0.14,0.1515,0.63,0.1343,0,1,1,9.526666666666667
73,2011-01-04,Spring,0,1,4,0,2,1,Clear,0.14,0.1818,0.63,0.0896,0,2,2,9.526666666666667
74,2011-01-04,Spring,0,1,5,0,2,1,Clear,0.12,0.1515,0.68,0.1045,0,4,4,9.526666666666667
75,2011-01-04,Spring,0,1,6,0,2,1,Clear,0.12,0.1515,0.74,0.1045,0,36,36,9.526666666666667
76,2011-01-04,Spring,0,1,7,0,2,1,Clear,0.12,0.1515,0.74,0.1343,2,92,94,9.526666666666667
77,2011-01-04,Spring,0,1,8,0,2,1,Clear,0.14,0.1515,0.69,0.1642,2,177,179,9.526666666666667
78,2011-01-04,Spring,0,1,9,0,2,1,Clear,0.16,0.1515,0.64,0.2239,2,98,100,9.526666666666667
79,2011-01-04,Spring,0,1,10,0,2,1,Mist,0.16,0.1364,0.69,0.3284,5,37,42,9.526666666666667
80,2011-01-04,Spring,0,1,11,0,2,1,Clear,0.22,0.2121,0.51,0.2985,7,50,57,9.526666666666667
81,2011-01-04,Spring,0,1,12,0,2,1,Clear,0.22,0.2273,0.51,0.1642,12,66,78,9.526666666666667
82,2011-01-04,Spring,0,1,13,0,2,1,Clear,0.24,0.2273,0.56,0.194,18,79,97,9.526666666666667
83,2011-01-04,Spring,0,1,14,0,2,1,Clear,0.26,0.2576,0.52,0.2239,9,54,63,9.526666666666667
84,2011-01-04,Spring,0,1,15,0,2,1,Clear,0.28,0.2727,0.52,0.2537,17,48,65,9.526666666666667
85,2011-01-04,Spring,0,1,16,0,2,1,Clear,0.3,0.2879,0.49,0.2537,15,68,83,9.526666666666667
86,2011-01-04,Spring,0,1,17,0,2,1,Clear,0.28,0.2727,0.48,0.2239,10,202,212,9.526666666666667
87,2011-01-04,Spring,0,1,18,0,2,1,Clear,0.26,0.2576,0.48,0.194,3,179,182,9.526666666666667
88,2011-01-04,Spring,0,1,19,0,2,1,Clear,0.24,0.2576,0.48,0.1045,2,110,112,9.526666666666667
89,2011-01-04,Spring,0,1,20,0,2,1,Clear,0.24,0.2576,0.48,0.1045,1,53,54,9.526666666666667
90,2011-01-04,Spring,0,1,21,0,2,1,Clear,0.22,0.2727,0.64,0.0,0,48,48,9.526666666666667
91,2011-01-04,Spring,0,1,22,0,2,1,Clear,0.22,0.2576,0.64,0.0896,1,34,35,9.526666666666667
92,2011-01-04,Spring,0,1,23,0,2,1,Clear,0.2,0.2273,0.69,0.0896,2,9,11,9.526666666666667
93,2011-01-05,Spring,0,1,0,0,3,1,Clear,0.2,0.2576,0.64,0.0,0,6,6,9.54138888888889
94,2011-01-05,Spring,0,1,1,0,3,1,Clear,0.16,0.197,0.74,0.0896,0,6,6,9.54138888888889
95,2011-01-05,Spring,0,1,2,0,3,1,Clear,0.16,0.197,0.74,0.0896,0,2,2,9.54138888888889
96,2011-01-05,Spring,0,1,4,0,3,1,Clear,0.24,0.2273,0.48,0.2239,0,2,2,9.54138888888889
97,2011-01-05,Spring,0,1,5,0,3,1,Clear,0.22,0.2273,0.47,0.1642,0,3,3,9.54138888888889
98,2011-01-05,Spring,0,1,6,0,3,1,Clear,0.2,0.197,0.47,0.2239,0,33,33,9.54138888888889
99,2011-01-05,Spring,0,1,7,0,3,1,Clear,0.18,0.1818,0.43,0.194,1,87,88,9.54138888888889
100,2011-01-05,Spring,0,1,8,0,3,1,Clear,0.2,0.1818,0.4,0.2985,3,192,195,9.54138888888889
101,2011-01-05,Spring,0,1,9,0,3,1,Clear,0.22,0.197,0.37,0.3284,6,109,115,9.54138888888889
102,2011-01-05,Spring,0,1,10,0,3,1,Clear,0.22,0.197,0.37,0.3284,4,53,57,9.54138888888889
103,2011-01-05,Spring,0,1,11,0,3,1,Clear,0.26,0.2273,0.33,0.3284,12,34,46,9.54138888888889
104,2011-01-05,Spring,0,1,12,0,3,1,Clear,0.26,0.2273,0.33,0.3284,5,74,79,9.54138888888889
105,2011-01-05,Spring,0,1,13,0,3,1,Clear,0.28,0.2576,0.3,0.2985,6,65,71,9.54138888888889
106,2011-01-05,Spring,0,1,14,0,3,1,Clear,0.3,0.2879,0.28,0.194,10,52,62,9.54138888888889
107,2011-01-05,Spring,0,1,15,0,3,1,Clear,0.3,0.2879,0.28,0.194,7,55,62,9.54138888888889
108,2011-01-05,Spring,0,1,16,0,3,1,Clear,0.3,0.3182,0.28,0.0896,4,85,89,9.54138888888889
109,2011-01-05,Spring,0,1,17,0,3,1,Clear,0.24,0.2273,0.38,0.194,4,186,190,9.54138888888889
110,2011-01-05,Spring,0,1,18,0,3,1,Clear,0.24,0.2424,0.38,0.1343,3,166,169,9.54138888888889
111,2011-01-05,Spring,0,1,19,0,3,1,Clear,0.24,0.2576,0.38,0.1045,5,127,132,9.54138888888889
112,2011-01-05,Spring,0,1,20,0,3,1,Clear,0.22,0.2273,0.47,0.1642,7,82,89,9.54138888888889
113,2011-01-05,Spring,0,1,21,0,3,1,Clear,0.2,0.197,0.51,0.194,3,40,43,9.54138888888889
114,2011-01-05,Spring,0,1,22,0,3,1,Clear,0.18,0.197,0.55,0.1343,1,41,42,9.54138888888889
115,2011-01-05,Spring,0,1,23,0,3,1,Clear,0.2,0.2576,0.47,0.0,1,18,19,9.54138888888889
116,2011-01-06,Spring,0,1,0,0,4,1,Clear,0.18,0.2424,0.55,0.0,0,11,11,9.556666666666667
117,2011-01-06,Spring,0,1,1,0,4,1,Clear,0.16,0.2273,0.64,0.0,0,4,4,9.556666666666667
118,2011-01-06,Spring,0,1,2,0,4,1,Clear,0.16,0.2273,0.64,0.0,0,2,2,9.556666666666667
119,2011-01-06,Spring,0,1,4,0,4,1,Mist,0.16,0.197,0.64,0.0896,0,1,1,9.556666666666667
120,2011-01-06,Spring,0,1,5,0,4,1,Mist,0.14,0.1818,0.69,0.0896,0,4,4,9.556666666666667
121,2011-01-06,Spring,0,1,6,0,4,1,Mist,0.14,0.1667,0.63,0.1045,0,36,36,9.556666666666667
122,2011-01-06,Spring,0,1,7,0,4,1,Mist,0.16,0.2273,0.59,0.0,0,95,95,9.556666666666667
123,2011-01-06,Spring,0,1,8,0,4,1,Clear,0.16,0.2273,0.59,0.0,3,216,219,9.556666666666667
124,2011-01-06,Spring,0,1,9,0,4,1,Mist,0.18,0.2424,0.51,0.0,6,116,122,9.556666666666667
125,2011-01-06,Spring,0,1,10,0,4,1,Clear,0.2,0.2576,0.47,0.0,3,42,45,9.556666666666667
126,2011-01-06,Spring,0,1,11,0,4,1,Clear,0.22,0.2576,0.44,0.0896,2,57,59,9.556666666666667
127,2011-01-06,Spring,0,1,12,0,4,1,Clear,0.26,0.2879,0.35,0.0,6,78,84,9.556666666666667
128,2011-01-06,Spring,0,1,13,0,4,1,Clear,0.26,0.2727,0.35,0.1045,12,55,67,9.556666666666667
129,2011-01-06,Spring,0,1,14,0,4,1,Clear,0.28,0.2727,0.36,0.1642,11,59,70,9.556666666666667
130,2011-01-06,Spring,0,1,15,0,4,1,Clear,0.28,0.2727,0.36,0.0,8,54,62,9.556666666666667
131,2011-01-06,Spring,0,1,16,0,4,1,Clear,0.26,0.2576,0.38,0.1642,12,74,86,9.556666666666667
132,2011-01-06,Spring,0,1,17,0,4,1,Clear,0.22,0.2273,0.51,0.1642,9,163,172,9.556666666666667
133,2011-01-06,Spring,0,1,18,0,4,1,Clear,0.22,0.2273,0.51,0.1343,5,158,163,9.556666666666667
134,2011-01-06,Spring,0,1,19,0,4,1,Clear,0.22,0.2576,0.55,0.0896,3,109,112,9.556666666666667
135,2011-01-06,Spring,0,1,20,0,4,1,Clear,0.2,0.2121,0.51,0.1642,3,66,69,9.556666666666667
136,2011-01-06,Spring,0,1,21,0,4,1,Mist,0.22,0.2121,0.55,0.2239,0,48,48,9.556666666666667
137,2011-01-06,Spring,0,1,22,0,4,1,Mist,0.22,0.2121,0.51,0.2836,1,51,52,9.556666666666667
138,2011-01-06,Spring,0,1,23,0,4,1,Mist,0.2,0.197,0.59,0.194,4,19,23,9.556666666666667
139,2011-01-07,Spring,0,1,0,0,5,1,Mist,0.2,0.197,0.64,0.194,4,13,17,9.573055555555555
140,2011-01-07,Spring,0,1,1,0,5,1,Mist,0.2,0.197,0.69,0.2239,2,5,7,9.573055555555555
141,2011-01-07,Spring,0,1,2,0,5,1,Mist,0.2,0.197,0.69,0.2239,0,1,1,9.573055555555555
142,2011-01-07,Spring,0,1,4,0,5,1,Mist,0.2,0.2121,0.69,0.1343,0,1,1,9.573055555555555
143,2011-01-07,Spring,0,1,5,0,5,1,Light Snow,0.22,0.2727,0.55,0.0,0,5,5,9.573055555555555
144,2011-01-07,Spring,0,1,6,0,5,1,Mist,0.2,0.2576,0.69,0.0,8,26,34,9.573055555555555
145,2011-01-07,Spring,0,1,7,0,5,1,Clear,0.2,0.2121,0.69,0.1343,8,76,84,9.573055555555555
146,2011-01-07,Spring,0,1,8,0,5,1,Clear,0.2,0.197,0.51,0.2537,20,190,210,9.573055555555555
147,2011-01-07,Spring,0,1,9,0,5,1,Clear,0.2,0.1818,0.47,0.2985,9,125,134,9.573055555555555
148,2011-01-07,Spring,0,1,10,0,5,1,Clear,0.22,0.197,0.37,0.3284,16,47,63,9.573055555555555
149,2011-01-07,Spring,0,1,11,0,5,1,Mist,0.2,0.197,0.4,0.2239,19,48,67,9.573055555555555
150,2011-01-07,Spring,0,1,12,0,5,1,Mist,0.2,0.197,0.37,0.2537,9,50,59,9.573055555555555
151,2011-01-07,Spring,0,1,13,0,5,1,Mist,0.2,0.1818,0.37,0.2836,9,64,73,9.573055555555555
152,2011-01-07,Spring,0,1,14,0,5,1,Mist,0.2,0.197,0.4,0.2537,7,43,50,9.573055555555555
153,2011-01-07,Spring,0,1,15,0,5,1,Mist,0.2,0.2121,0.37,0.1642,9,63,72,9.573055555555555
154,2011-01-07,Spring,0,1,16,0,5,1,Mist,0.2,0.2121,0.37,0.1642,5,82,87,9.573055555555555
155,2011-01-07,Spring,0,1,17,0,5,1,Mist,0.2,0.2576,0.37,0.0,9,178,187,9.573055555555555
156,2011-01-07,Spring,0,1,18,0,5,1,Clear,0.2,0.2273,0.4,0.0896,7,116,123,9.573055555555555
157,2011-01-07,Spring,0,1,19,0,5,1,Clear,0.16,0.197,0.55,0.0896,3,92,95,9.573055555555555
158,2011-01-07,Spring,0,1,20,0,5,1,Clear,0.18,0.2121,0.47,0.1045,1,50,51,9.573055555555555
159,2011-01-07,Spring,0,1,21,0,5,1,Clear,0.18,0.197,0.47,0.1343,0,39,39,9.573055555555555
160,2011-01-07,Spring,0,1,22,0,5,1,Mist,0.18,0.197,0.43,0.1642,2,34,36,9.573055555555555
161,2011-01-07,Spring,0,1,23,0,5,1,Mist,0.18,0.197,0.51,0.1642,1,14,15,9.573055555555555
162,2011-01-08,Spring,0,1,0,0,6,0,Mist,0.18,0.197,0.51,0.1642,1,24,25,9.590277777777779
163,2011-01-08,Spring,0,1,1,0,6,0,Mist,0.18,0.2121,0.55,0.0896,1,15,16,9.590277777777779
164,2011-01-08,Spring,0,1,2,0,6,0,Mist,0.18,0.2424,0.55,0.0,3,13,16,9.590277777777779
165,2011-01-08,Spring,0,1,3,0,6,0,Light Snow,0.18,0.197,0.55,0.1642,0,7,7,9.590277777777779
166,2011-01-08,Spring,0,1,4,0,6,0,Light Snow,0.18,0.197,0.55,0.1642,0,1,1,9.590277777777779
167,2011-01-08,Spring,0,1,5,0,6,0,Mist,0.16,0.1667,0.74,0.1642,0,5,5,9.590277777777779
168,2011-01-08,Spring,0,1,6,0,6,0,Mist,0.16,0.1667,0.74,0.1642,0,2,2,9.590277777777779
169,2011-01-08,Spring,0,1,7,0,6,0,Mist,0.16,0.1818,0.74,0.1045,1,8,9,9.590277777777779
170,2011-01-08,Spring,0,1,8,0,6,0,Light Snow,0.16,0.1818,0.93,0.1045,0,15,15,9.590277777777779
171,2011-01-08,Spring,0,1,9,0,6,0,Light Snow,0.16,0.1818,0.93,0.1045,0,20,20,9.590277777777779
172,2011-01-08,Spring,0,1,10,0,6,0,Mist,0.18,0.197,0.8,0.1642,5,56,61,9.590277777777779
173,2011-01-08,Spring,0,1,11,0,6,0,Mist,0.2,0.1818,0.69,0.3881,2,60,62,9.590277777777779
174,2011-01-08,Spring,0,1,12,0,6,0,Mist,0.2,0.1818,0.59,0.3582,8,90,98,9.590277777777779
175,2011-01-08,Spring,0,1,13,0,6,0,Clear,0.2,0.1818,0.44,0.3284,7,95,102,9.590277777777779
176,2011-01-08,Spring,0,1,14,0,6,0,Clear,0.2,0.1667,0.32,0.4925,12,83,95,9.590277777777779
177,2011-01-08,Spring,0,1,15,0,6,0,Clear,0.2,0.1667,0.32,0.4478,5,69,74,9.590277777777779
178,2011-01-08,Spring,0,1,16,0,6,0,Clear,0.18,0.1364,0.29,0.4478,8,68,76,9.590277777777779
179,2011-01-08,Spring,0,1,17,0,6,0,Clear,0.16,0.1212,0.37,0.5522,5,64,69,9.590277777777779
180,2011-01-08,Spring,0,1,18,0,6,0,Clear,0.14,0.1212,0.39,0.2985,3,52,55,9.590277777777779
181,2011-01-08,Spring,0,1,19,0,6,0,Clear,0.14,0.1212,0.36,0.2537,4,26,30,9.590277777777779
182,2011-01-08,Spring,0,1,20,0,6,0,Clear,0.12,0.1212,0.36,0.2537,0,28,28,9.590277777777779
183,2011-01-08,Spring,0,1,21,0,6,0,Clear,0.12,0.1061,0.39,0.3582,2,35,37,9.590277777777779
184,2011-01-08,Spring,0,1,22,0,6,0,Clear,0.12,0.1061,0.36,0.3881,1,33,34,9.590277777777779
185,2011-01-08,Spring,0,1,23,0,6,0,Clear,0.1,0.0606,0.39,0.4478,0,22,22,9.590277777777779
186,2011-01-09,Spring,0,1,0,0,0,0,Clear,0.1,0.0758,0.42,0.3881,1,24,25,9.608611111111111
187,2011-01-09,Spring,0,1,1,0,0,0,Clear,0.1,0.0606,0.42,0.4627,0,12,12,9.608611111111111
188,2011-01-09,Spring,0,1,2,0,0,0,Clear,0.1,0.0606,0.46,0.4627,0,11,11,9.608611111111111
189,2011-01-09,Spring,0,1,3,0,0,0,Clear,0.1,0.0758,0.46,0.4179,0,4,4,9.608611111111111
190,2011-01-09,Spring,0,1,4,0,0,0,Clear,0.08,0.0909,0.53,0.194,0,1,1,9.608611111111111
191,2011-01-09,Spring,0,1,5,0,0,0,Clear,0.08,0.0909,0.53,0.194,0,1,1,9.608611111111111
192,2011-01-09,Spring,0,1,6,0,0,0,Clear,0.1,0.0909,0.49,0.2836,0,1,1,9.608611111111111
193,2011-01-09,Spring,0,1,7,0,0,0,Clear,0.08,0.0909,0.53,0.194,1,5,6,9.608611111111111
194,2011-01-09,Spring,0,1,8,0,0,0,Clear,0.1,0.0909,0.49,0.2836,0,10,10,9.608611111111111
195,2011-01-09,Spring,0,1,9,0,0,0,Clear,0.12,0.0758,0.46,0.5224,0,19,19,9.608611111111111
196,2011-01-09,Spring,0,1,10,0,0,0,Clear,0.14,0.1061,0.43,0.3881,0,49,49,9.608611111111111
197,2011-01-09,Spring,0,1,11,0,0,0,Clear,0.16,0.1212,0.4,0.5224,2,47,49,9.608611111111111
198,2011-01-09,Spring,0,1,12,0,0,0,Clear,0.18,0.1364,0.37,0.4478,4,79,83,9.608611111111111
199,2011-01-09,Spring,0,1,13,0,0,0,Clear,0.2,0.1667,0.34,0.4478,6,69,75,9.608611111111111
200,2011-01-09,Spring,0,1,14,0,0,0,Clear,0.22,0.1818,0.32,0.4627,8,64,72,9.608611111111111
201,2011-01-09,Spring,0,1,15,0,0,0,Clear,0.22,0.197,0.35,0.3582,5,77,82,9.608611111111111
202,2011-01-09,Spring,0,1,16,0,0,0,Clear,0.2,0.1667,0.34,0.4478,13,79,92,9.608611111111111
203,2011-01-09,Spring,0,1,17,0,0,0,Clear,0.18,0.1515,0.37,0.3881,3,59,62,9.608611111111111
204,2011-01-09,Spring,0,1,18,0,0,0,Clear,0.16,0.1364,0.4,0.3284,4,44,48,9.608611111111111
205,2011-01-09,Spring,0,1,19,0,0,0,Clear,0.16,0.1364,0.43,0.3284,1,40,41,9.608611111111111
206,2011-01-09,Spring,0,1,20,0,0,0,Clear,0.14,0.1212,0.46,0.2537,0,38,38,9.608611111111111
207,2011-01-09,Spring,0,1,21,0,0,0,Clear,0.14,0.1061,0.46,0.4179,1,19,20,9.608611111111111
208,2011-01-09,Spring,0,1,22,0,0,0,Clear,0.14,0.1212,0.46,0.2985,5,10,15,9.608611111111111
209,2011-01-09,Spring,0,1,23,0,0,0,Clear,0.12,0.1364,0.5,0.194,0,6,6,9.608611111111111
210,2011-01-10,Spring,0,1,0,0,1,1,Clear,0.12,0.1212,0.5,0.2836,2,3,5,9.627777777777778
211,2011-01-10,Spring,0,1,1,0,1,1,Clear,0.12,0.1212,0.5,0.2836,1,0,1,9.627777777777778
212,2011-01-10,Spring,0,1,2,0,1,1,Clear,0.12,0.1212,0.5,0.2239,0,3,3,9.627777777777778
213,2011-01-10,Spring,0,1,3,0,1,1,Clear,0.12,0.1212,0.5,0.2239,0,1,1,9.627777777777778
214,2011-01-10,Spring,0,1,4,0,1,1,Clear,0.1,0.1212,0.54,0.1343,1,2,3,9.627777777777778
215,2011-01-10,Spring,0,1,5,0,1,1,Clear,0.1,0.1061,0.54,0.2537,0,3,3,9.627777777777778
216,2011-01-10,Spring,0,1,6,0,1,1,Clear,0.12,0.1212,0.5,0.2836,0,31,31,9.627777777777778
217,2011-01-10,Spring,0,1,7,0,1,1,Clear,0.12,0.1212,0.5,0.2239,2,75,77,9.627777777777778
218,2011-01-10,Spring,0,1,8,0,1,1,Mist,0.12,0.1212,0.5,0.2836,4,184,188,9.627777777777778
219,2011-01-10,Spring,0,1,9,0,1,1,Mist,0.14,0.1212,0.5,0.2537,2,92,94,9.627777777777778
220,2011-01-10,Spring,0,1,10,0,1,1,Mist,0.14,0.1212,0.5,0.2985,0,31,31,9.627777777777778
221,2011-01-10,Spring,0,1,11,0,1,1,Mist,0.16,0.1364,0.47,0.2836,2,28,30,9.627777777777778
222,2011-01-10,Spring,0,1,12,0,1,1,Mist,0.2,0.1818,0.4,0.2836,5,47,52,9.627777777777778
223,2011-01-10,Spring,0,1,13,0,1,1,Mist,0.2,0.1818,0.4,0.2836,4,50,54,9.627777777777778
224,2011-01-10,Spring,0,1,14,0,1,1,Mist,0.2,0.197,0.4,0.2239,0,47,47,9.627777777777778
225,2011-01-10,Spring,0,1,15,0,1,1,Mist,0.2,0.197,0.4,0.2239,2,43,45,9.627777777777778
226,2011-01-10,Spring,0,1,16,0,1,1,Clear,0.2,0.2121,0.4,0.1343,4,70,74,9.627777777777778
227,2011-01-10,Spring,0,1,17,0,1,1,Clear,0.2,0.2273,0.4,0.1045,4,174,178,9.627777777777778
228,2011-01-10,Spring,0,1,18,0,1,1,Clear,0.2,0.197,0.4,0.2239,1,154,155,9.627777777777778
