season,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,cnt,day,daylight_hours
1,21,0,1,1,1,0.18,0.64,0.1343,52,3,9.513333333333334
1,22,0,1,1,1,0.14,0.69,0.1343,20,3,9.513333333333334
1,23,0,1,1,1,0.18,0.55,0.1045,12,3,9.513333333333334
1,0,0,2,1,1,0.16,0.55,0.1045,5,4,9.526666666666667
1,1,0,2,1,1,0.16,0.59,0.1045,2,4,9.526666666666667
1,2,0,2,1,1,0.14,0.63,0.1343,1,4,9.526666666666667
1,4,0,2,1,1,0.14,0.63,0.0896,2,4,9.526666666666667
1,5,0,2,1,1,0.12,0.68,0.1045,4,4,9.526666666666667
1,6,0,2,1,1,0.12,0.74,0.1045,36,4,9.526666666666667
1,7,0,2,1,1,0.12,0.74,0.1343,94,4,9.526666666666667
1,8,0,2,1,1,0.14,0.69,0.1642,179,4,9.526666666666667
1,9,0,2,1,1,0.16,0.64,0.2239,100,4,9.526666666666667
1,10,0,2,1,2,0.16,0.69,0.3284,42,4,9.526666666666667
1,11,0,2,1,1,0.22,0.51,0.2985,57,4,9.526666666666667
1,12,0,2,1,1,0.22,0.51,0.1642,78,4,9.526666666666667
1,13,0,2,1,1,0.24,0.56,0.194,97,4,9.526666666666667
1,14,0,2,1,1,0.26,0.52,0.2239,63,4,9.526666666666667
1,15,0,2,1,1,0.28,0.52,0.2537,65,4,9.526666666666667
1,16,0,2,1,1,0.3,0.49,0.2537,83,4,9.526666666666667
1,17,0,2,1,1,0.28,0.48,0.2239,212,4,9.526666666666667
1,18,0,2,1,1,0.26,0.48,0.194,182,4,9.526666666666667
1,19,0,2,1,1,0.24,0.48,0.1045,112,4,9.526666666666667
1,20,0,2,1,1,0.24,0.48,0.1045,54,4,9.526666666666667
1,21,0,2,1,1,0.22,0.64,0.0,48,4,9.526666666666667
1,22,0,2,1,1,0.22,0.64,0.0896,35,4,9.526666666666667
1,23,0,2,1,1,0.2,0.69,0.0896,11,4,9.526666666666667
1,0,0,3,1,1,0.2,0.64,0.0,6,5,9.54138888888889
1,1,0,3,1,1,0.16,0.74,0.0896,6,5,9.54138888888889
1,2,0,3,1,1,0.16,0.74,0.0896,2,5,9.54138888888889
1,4,0,3,1,1,0.24,0.48,0.2239,2,5,9.54138888888889
1,5,0,3,1,1,0.22,0.47,0.1642,3,5,9.54138888888889
1,6,0,3,1,1,0.2,0.47,0.2239,33,5,9.54138888888889
1,7,0,3,1,1,0.18,0.43,0.194,88,5,9.54138888888889
1,8,0,3,1,1,0.2,0.4,0.2985,195,5,9.54138888888889
1,9,0,3,1,1,0.22,0.37,0.3284,115,5,9.54138888888889
1,10,0,3,1,1,0.22,0.37,0.3284,57,5,9.54138888888889
1,11,0,3,1,1,0.26,0.33,0.3284,46,5,9.54138888888889
1,12,0,3,1,1,0.26,0.33,0.3284,79,5,9.54138888888889
1,13,0,3,1,1,0.28,0.3,0.2985,71,5,9.54138888888889
1,14,0,3,1,1,0.3,0.28,0.194,62,5,9.54138888888889
1,15,0,3,1,1,0.3,0.28,0.194,62,5,9.54138888888889
1,16,0,3,1,1,0.3,0.28,0.0896,89,5,9.54138888888889
1,17,0,3,1,1,0.24,0.38,0.194,190,5,9.54138888888889
1,18,0,3,1,1,0.24,0.38,0.1343,169,5,9.54138888888889
1,19,0,3,1,1,0.24,0.38,0.1045,132,5,9.54138888888889
1,20,0,3,1,1,0.22,0.47,0.1642,89,5,9.54138888888889
1,21,0,3,1,1,0.2,0.51,0.194,43,5,9.54138888888889
1,22,0,3,1,1,0.18,0.55,0.1343,42,5,9.54138888888889
1,23,0,3,1,1,0.2,0.47,0.0,19,5,9.54138888888889
1,0,0,4,1,1,0.18,0.55,0.0,11,6,9.556666666666667
1,1,0,4,1,1,0.16,0.64,0.0,4,6,9.556666666666667
1,2,0,4,1,1,0.16,0.64,0.0,2,6,9.556666666666667
1,4,0,4,1,2,0.16,0.64,0.0896,1,6,9.556666666666667
1,5,0,4,1,2,0.14,0.69,0.0896,4,6,9.556666666666667
1,6,0,4,1,2,0.14,0.63,0.1045,36,6,9.556666666666667
1,7,0,4,1,2,0.16,0.59,0.0,95,6,9.556666666666667
1,8,0,4,1,1,0.16,0.59,0.0,219,6,9.556666666666667
1,9,0,4,1,2,0.18,0.51,0.0,122,6,9.556666666666667
1,10,0,4,1,1,0.2,0.47,0.0,45,6,9.556666666666667
1,11,0,4,1,1,0.22,0.44,0.0896,59,6,9.556666666666667
1,12,0,4,1,1,0.26,0.35,0.0,84,6,9.556666666666667
1,13,0,4,1,1,0.26,0.35,0.1045,67,6,9.556666666666667
1,14,0,4,1,1,0.28,0.36,0.1642,70,6,9.556666666666667
1,15,0,4,1,1,0.28,0.36,0.0,62,6,9.556666666666667
1,16,0,4,1,1,0.26,0.38,0.1642,86,6,9.556666666666667
1,17,0,4,1,1,0.22,0.51,0.1642,172,6,9.556666666666667
1,18,0,4,1,1,0.22,0.51,0.1343,163,6,9.556666666666667
1,19,0,4,1,1,0.22,0.55,0.0896,112,6,9.556666666666667
1,20,0,4,1,1,0.2,0.51,0.1642,69,6,9.556666666666667
1,21,0,4,1,2,0.22,0.55,0.2239,48,6,9.556666666666667
1,22,0,4,1,2,0.22,0.51,0.2836,52,6,9.556666666666667
1,23,0,4,1,2,0.2,0.59,0.194,23,6,9.556666666666667
1,0,0,5,1,2,0.2,0.64,0.194,17,7,9.573055555555555
1,1,0,5,1,2,0.2,0.69,0.2239,7,7,9.573055555555555
1,2,0,5,1,2,0.2,0.69,0.2239,1,7,9.573055555555555
1,4,0,5,1,2,0.2,0.69,0.1343,1,7,9.573055555555555
1,5,0,5,1,3,0.22,0.55,0.0,5,7,9.573055555555555
1,6,0,5,1,2,0.2,0.69,0.0,34,7,9.573055555555555
1,7,0,5,1,1,0.2,0.69,0.1343,84,7,9.573055555555555
1,8,0,5,1,1,0.2,0.51,0.2537,210,7,9.573055555555555
1,9,0,5,1,1,0.2,0.47,0.2985,134,7,9.573055555555555
1,10,0,5,1,1,0.22,0.37,0.3284,63,7,9.573055555555555
1,11,0,5,1,2,0.2,0.4,0.2239,67,7,9.573055555555555
1,12,0,5,1,2,0.2,0.37,0.2537,59,7,9.573055555555555
1,13,0,5,1,2,0.2,0.37,0.2836,73,7,9.573055555555555
1,14,0,5,1,2,0.2,0.4,0.2537,50,7,9.573055555555555
1,15,0,5,1,2,0.2,0.37,0.1642,72,7,9.573055555555555
1,16,0,5,1,2,0.2,0.37,0.1642,87,7,9.573055555555555
1,17,0,5,1,2,0.2,0.37,0.0,187,7,9.573055555555555
1,18,0,5,1,1,0.2,0.4,0.0896,123,7,9.573055555555555
1,19,0,5,1,1,0.16,0.55,0.0896,95,7,9.573055555555555
1,20,0,5,1,1,0.18,0.47,0.1045,51,7,9.573055555555555
1,21,0,5,1,1,0.18,0.47,0.1343,39,7,9.573055555555555
1,22,0,5,1,2,0.18,0.43,0.1642,36,7,9.573055555555555
1,23,0,5,1,2,0.18,0.51,0.1642,15,7,9.573055555555555
1,0,0,6,0,2,0.18,0.51,0.1642,25,8,9.590277777777779
1,1,0,6,0,2,0.18,0.55,0.0896,16,8,9.590277777777779
1,2,0,6,0,2,0.18,0.55,0.0,16,8,9.590277777777779
1,3,0,6,0,3,0.18,0.55,0.1642,7,8,9.590277777777779
1,4,0,6,0,3,0.18,0.55,0.1642,1,8,9.590277777777779
1,5,0,6,0,2,0.16,0.74,0.1642,5,8,9.590277777777779
1,6,0,6,0,2,0.16,0.74,0.1642,2,8,9.590277777777779
1,7,0,6,0,2,0.16,0.74,0.1045,9,8,9.590277777777779
1,8,0,6,0,3,0.16,0.93,0.1045,15,8,9.590277777777779
1,9,0,6,0,3,0.16,0.93,0.1045,20,8,9.590277777777779
1,10,0,6,0,2,0.18,0.8,0.1642,61,8,9.590277777777779
1,11,0,6,0,2,0.2,0.69,0.3881,62,8,9.590277777777779
1,12,0,6,0,2,0.2,0.59,0.3582,98,8,9.590277777777779
1,13,0,6,0,1,0.2,0.44,0.3284,102,8,9.590277777777779
1,14,0,6,0,1,0.2,0.32,0.4925,95,8,9.590277777777779
1,15,0,6,0,1,0.2,0.32,0.4478,74,8,9.590277777777779
1,16,0,6,0,1,0.18,0.29,0.4478,76,8,9.590277777777779
1,17,0,6,0,1,0.16,0.37,0.5522,69,8,9.590277777777779
1,18,0,6,0,1,0.14,0.39,0.2985,55,8,9.590277777777779
1,19,0,6,0,1,0.14,0.36,0.2537,30,8,9.590277777777779
1,20,0,6,0,1,0.12,0.36,0.2537,28,8,9.590277777777779
1,21,0,6,0,1,0.12,0.39,0.3582,37,8,9.590277777777779
1,22,0,6,0,1,0.12,0.36,0.3881,34,8,9.590277777777779
1,23,0,6,0,1,0.1,0.39,0.4478,22,8,9.590277777777779
1,0,0,0,0,1,0.1,0.42,0.3881,25,9,9.608611111111111
1,1,0,0,0,1,0.1,0.42,0.4627,12,9,9.608611111111111
1,2,0,0,0,1,0.1,0.46,0.4627,11,9,9.608611111111111
1,3,0,0,0,1,0.1,0.46,0.4179,4,9,9.608611111111111
1,4,0,0,0,1,0.08,0.53,0.194,1,9,9.608611111111111
1,5,0,0,0,1,0.08,0.53,0.194,1,9,9.608611111111111
1,6,0,0,0,1,0.1,0.49,0.2836,1,9,9.608611111111111
1,7,0,0,0,1,0.08,0.53,0.194,6,9,9.608611111111111
1,8,0,0,0,1,0.1,0.49,0.2836,10,9,9.608611111111111
1,9,0,0,0,1,0.12,0.46,0.5224,19,9,9.608611111111111
1,10,0,0,0,1,0.14,0.43,0.3881,49,9,9.608611111111111
1,11,0,0,0,1,0.16,0.4,0.5224,49,9,9.608611111111111
1,12,0,0,0,1,0.18,0.37,0.4478,83,9,9.608611111111111
1,13,0,0,0,1,0.2,0.34,0.4478,75,9,9.608611111111111
1,14,0,0,0,1,0.22,0.32,0.4627,72,9,9.608611111111111
1,15,0,0,0,1,0.22,0.35,0.3582,82,9,9.608611111111111
1,16,0,0,0,1,0.2,0.34,0.4478,92,9,9.608611111111111
1,17,0,0,0,1,0.18,0.37,0.3881,62,9,9.608611111111111
1,18,0,0,0,1,0.16,0.4,0.3284,48,9,9.608611111111111
1,19,0,0,0,1,0.16,0.43,0.3284,41,9,9.608611111111111
1,20,0,0,0,1,0.14,0.46,0.2537,38,9,9.608611111111111
1,21,0,0,0,1,0.14,0.46,0.4179,20,9,9.608611111111111
1,22,0,0,0,1,0.14,0.46,0.2985,15,9,9.608611111111111
1,23,0,0,0,1,0.12,0.5,0.194,6,9,9.608611111111111
1,0,0,1,1,1,0.12,0.5,0.2836,5,10,9.627777777777778
1,1,0,1,1,1,0.12,0.5,0.2836,1,10,9.627777777777778
1,2,0,1,1,1,0.12,0.5,0.2239,3,10,9.627777777777778
1,3,0,1,1,1,0.12,0.5,0.2239,1,10,9.627777777777778
1,4,0,1,1,1,0.1,0.54,0.1343,3,10,9.627777777777778
1,5,0,1,1,1,0.1,0.54,0.2537,3,10,9.627777777777778
1,6,0,1,1,1,0.12,0.5,0.2836,31,10,9.627777777777778
1,7,0,1,1,1,0.12,0.5,0.2239,77,10,9.627777777777778
1,8,0,1,1,2,0.12,0.5,0.2836,188,10,9.627777777777778
1,9,0,1,1,2,0.14,0.5,0.2537,94,10,9.627777777777778
1,10,0,1,1,2,0.14,0.5,0.2985,31,10,9.627777777777778
1,11,0,1,1,2,0.16,0.47,0.2836,30,10,9.627777777777778
1,12,0,1,1,2,0.2,0.4,0.2836,52,10,9.627777777777778
1,13,0,1,1,2,0.2,0.4,0.2836,54,10,9.627777777777778
1,14,0,1,1,2,0.2,0.4,0.2239,47,10,9.627777777777778
1,15,0,1,1,2,0.2,0.4,0.2239,45,10,9.627777777777778
1,16,0,1,1,1,0.2,0.4,0.1343,74,10,9.627777777777778
1,17,0,1,1,1,0.2,0.4,0.1045,178,10,9.627777777777778
1,18,0,1,1,1,0.2,0.4,0.2239,155,10,9.627777777777778
1,19,0,1,1,1,0.16,0.47,0.1642,95,10,9.627777777777778
1,20,0,1,1,1,0.16,0.5,0.1642,74,10,9.627777777777778
1,21,0,1,1,1,0.14,0.59,0.194,38,10,9.627777777777778
1,22,0,1,1,1,0.14,0.59,0.1642,24,10,9.627777777777778
1,23,0,1,1,1,0.14,0.59,0.1642,18,10,9.627777777777778
1,0,0,2,1,1,0.14,0.59,0.1045,12,11,9.6475
1,1,0,2,1,1,0.14,0.59,0.1642,3,11,9.6475
1,2,0,2,1,2,0.16,0.55,0.194,3,11,9.6475
1,5,0,2,1,2,0.16,0.55,0.1343,6,11,9.6475
1,6,0,2,1,2,0.16,0.55,0.1343,27,11,9.6475
1,7,0,2,1,2,0.16,0.55,0.0,99,11,9.6475
1,8,0,2,1,2,0.18,0.51,0.0896,217,11,9.6475
1,9,0,2,1,2,0.18,0.51,0.1642,130,11,9.6475
1,10,0,2,1,2,0.2,0.51,0.1642,54,11,9.6475
1,11,0,2,1,2,0.2,0.47,0.1343,35,11,9.6475
1,12,0,2,1,2,0.2,0.51,0.1045,57,11,9.6475
1,13,0,2,1,2,0.2,0.59,0.0896,52,11,9.6475
1,14,0,2,1,2,0.2,0.59,0.0896,63,11,9.6475
1,15,0,2,1,2,0.16,0.8,0.0896,47,11,9.6475
1,16,0,2,1,2,0.16,0.86,0.2239,76,11,9.6475
1,17,0,2,1,2,0.16,0.86,0.2239,136,11,9.6475
1,18,0,2,1,3,0.16,0.93,0.1045,95,11,9.6475
1,19,0,2,1,3,0.16,0.93,0.0,51,11,9.6475
1,20,0,2,1,3,0.16,0.93,0.194,32,11,9.6475
1,21,0,2,1,3,0.16,0.86,0.0896,20,11,9.6475
1,22,0,2,1,3,0.16,0.93,0.1045,29,11,9.6475
1,23,0,2,1,3,0.16,0.93,0.0896,19,11,9.6475
1,0,0,3,1,2,0.16,0.86,0.0896,7,12,9.668333333333333
1,1,0,3,1,2,0.16,0.86,0.1045,6,12,9.668333333333333
1,2,0,3,1,1,0.14,0.86,0.1343,1,12,9.668333333333333
1,5,0,3,1,1,0.14,0.86,0.1642,5,12,9.668333333333333
1,6,0,3,1,1,0.12,0.93,0.1343,16,12,9.668333333333333
1,7,0,3,1,1,0.14,0.69,0.1343,54,12,9.668333333333333
1,8,0,3,1,1,0.16,0.59,0.1642,128,12,9.668333333333333
1,9,0,3,1,1,0.16,0.59,0.3284,81,12,9.668333333333333
1,10,0,3,1,1,0.18,0.55,0.2239,39,12,9.668333333333333
1,11,0,3,1,1,0.2,0.51,0.3881,35,12,9.668333333333333
1,12,0,3,1,1,0.2,0.47,0.5821,55,12,9.668333333333333
1,13,0,3,1,1,0.22,0.44,0.3582,49,12,9.668333333333333
1,14,0,3,1,1,0.2,0.47,0.3284,44,12,9.668333333333333
1,15,0,3,1,1,0.2,0.47,0.4179,49,12,9.668333333333333
1,16,0,3,1,1,0.22,0.44,0.3284,68,12,9.668333333333333
1,17,0,3,1,1,0.2,0.47,0.3582,139,12,9.668333333333333
1,18,0,3,1,1,0.2,0.47,0.5224,137,12,9.668333333333333
1,19,0,3,1,1,0.18,0.47,0.4179,83,12,9.668333333333333
1,20,0,3,1,1,0.16,0.5,0.3284,56,12,9.668333333333333
1,21,0,3,1,1,0.16,0.55,0.3284,57,12,9.668333333333333
1,22,0,3,1,1,0.16,0.55,0.4478,33,12,9.668333333333333
1,23,0,3,1,1,0.14,0.59,0.4179,20,12,9.668333333333333
1,0,0,4,1,1,0.14,0.59,0.2836,7,13,9.69
1,1,0,4,1,1,0.14,0.5,0.2836,2,13,9.69
1,2,0,4,1,1,0.14,0.5,0.3582,2,13,9.69
1,3,0,4,1,1,0.14,0.5,0.3284,3,13,9.69
1,4,0,4,1,1,0.14,0.5,0.2537,4,13,9.69
1,5,0,4,1,1,0.14,0.5,0.2985,3,13,9.69
1,6,0,4,1,1,0.12,0.54,0.1343,28,13,9.69
1,7,0,4,1,1,0.12,0.54,0.1343,72,13,9.69
1,8,0,4,1,1,0.14,0.5,0.194,202,13,9.69
1,9,0,4,1,1,0.14,0.5,0.3284,139,13,9.69
1,10,0,4,1,2,0.16,0.5,0.3582,38,13,9.69
1,11,0,4,1,2,0.2,0.44,0.4478,37,13,9.69
1,12,0,4,1,1,0.2,0.44,0.4179,52,13,9.69
1,13,0,4,1,1,0.22,0.41,0.4478,83,13,9.69
1,14,0,4,1,1,0.22,0.41,0.3881,42,13,9.69
1,15,0,4,1,1,0.24,0.38,0.2985,60,13,9.69
1,16,0,4,1,1,0.24,0.38,0.3582,78,13,9.69
1,17,0,4,1,1,0.2,0.4,0.2836,162,13,9.69
1,18,0,4,1,1,0.2,0.4,0.3284,144,13,9.69
1,19,0,4,1,1,0.16,0.47,0.2537,99,13,9.69
1,20,0,4,1,1,0.16,0.47,0.2239,64,13,9.69
1,21,0,4,1,1,0.14,0.46,0.2985,40,13,9.69
1,22,0,4,1,1,0.14,0.46,0.3284,30,13,9.69
1,23,0,4,1,1,0.12,0.5,0.194,15,13,9.69
1,0,0,5,1,1,0.12,0.5,0.194,14,14,9.7125
1,1,0,5,1,1,0.1,0.54,0.1642,5,14,9.7125
1,2,0,5,1,1,0.1,0.54,0.1343,1,14,9.7125
1,3,0,5,1,1,0.1,0.54,0.1045,1,14,9.7125
1,5,0,5,1,1,0.1,0.54,0.0896,8,14,9.7125
1,6,0,5,1,1,0.1,0.54,0.0,17,14,9.7125
1,7,0,5,1,1,0.1,0.74,0.1642,70,14,9.7125
1,8,0,5,1,1,0.12,0.68,0.0,158,14,9.7125
1,9,0,5,1,1,0.14,0.69,0.1343,117,14,9.7125
1,10,0,5,1,1,0.18,0.55,0.194,44,14,9.7125
1,11,0,5,1,1,0.18,0.51,0.2836,53,14,9.7125
1,12,0,5,1,1,0.2,0.44,0.2537,61,14,9.7125
1,13,0,5,1,1,0.22,0.37,0.3881,77,14,9.7125
1,14,0,5,1,1,0.22,0.41,0.2836,64,14,9.7125
1,15,0,5,1,1,0.24,0.38,0.1642,68,14,9.7125
1,16,0,5,1,1,0.22,0.41,0.1045,90,14,9.7125
1,17,0,5,1,1,0.22,0.41,0.1642,159,14,9.7125
1,18,0,5,1,1,0.2,0.47,0.0,139,14,9.7125
1,19,0,5,1,1,0.16,0.59,0.0896,92,14,9.7125
1,20,0,5,1,1,0.18,0.59,0.0,68,14,9.7125
1,21,0,5,1,1,0.16,0.69,0.0,52,14,9.7125
1,22,0,5,1,2,0.16,0.69,0.0,36,14,9.7125
1,23,0,5,1,2,0.18,0.55,0.0,27,14,9.7125
1,0,0,6,0,1,0.18,0.55,0.0,28,15,9.735833333333334
1,1,0,6,0,2,0.16,0.59,0.0896,20,15,9.735833333333334
1,2,0,6,0,2,0.16,0.59,0.0896,12,15,9.735833333333334
1,3,0,6,0,2,0.16,0.59,0.0,8,15,9.735833333333334
1,4,0,6,0,2,0.16,0.59,0.0,5,15,9.735833333333334
1,5,0,6,0,1,0.16,0.59,0.0,1,15,9.735833333333334
1,6,0,6,0,1,0.14,0.63,0.1045,3,15,9.735833333333334
1,7,0,6,0,1,0.14,0.63,0.0,10,15,9.735833333333334
1,8,0,6,0,1,0.14,0.63,0.1343,23,15,9.735833333333334
1,9,0,6,0,1,0.16,0.64,0.1343,33,15,9.735833333333334
1,10,0,6,0,1,0.18,0.59,0.1642,59,15,9.735833333333334
1,11,0,6,0,1,0.2,0.55,0.2239,72,15,9.735833333333334
1,12,0,6,0,1,0.24,0.48,0.2239,89,15,9.735833333333334
1,13,0,6,0,1,0.28,0.38,0.2985,101,15,9.735833333333334
1,14,0,6,0,1,0.3,0.39,0.2836,118,15,9.735833333333334
1,15,0,6,0,2,0.32,0.36,0.194,129,15,9.735833333333334
1,16,0,6,0,2,0.34,0.34,0.194,128,15,9.735833333333334
1,17,0,6,0,2,0.32,0.36,0.2836,83,15,9.735833333333334
1,18,0,6,0,2,0.3,0.45,0.2537,84,15,9.735833333333334
1,19,0,6,0,2,0.32,0.39,0.2537,74,15,9.735833333333334
1,20,0,6,0,2,0.32,0.39,0.2537,41,15,9.735833333333334
1,21,0,6,0,2,0.32,0.39,0.2239,57,15,9.735833333333334
1,22,0,6,0,2,0.3,0.42,0.1045,26,15,9.735833333333334
1,23,0,6,0,1,0.3,0.45,0.2836,44,15,9.735833333333334
1,0,0,0,0,1,0.26,0.56,0.0,39,16,9.759722222222223
1,1,0,0,0,1,0.26,0.56,0.1343,23,16,9.759722222222223
1,2,0,0,0,1,0.26,0.56,0.0896,16,16,9.759722222222223
1,3,0,0,0,1,0.22,0.69,0.0,15,16,9.759722222222223
1,4,0,0,0,1,0.26,0.56,0.1642,1,16,9.759722222222223
1,5,0,0,0,2,0.26,0.56,0.1642,2,16,9.759722222222223
1,6,0,0,0,2,0.26,0.56,0.1642,1,16,9.759722222222223
1,7,0,0,0,2,0.24,0.56,0.2985,3,16,9.759722222222223
1,8,0,0,0,1,0.22,0.55,0.2836,18,16,9.759722222222223
1,9,0,0,0,1,0.22,0.51,0.2537,32,16,9.759722222222223
1,10,0,0,0,1,0.22,0.51,0.2836,79,16,9.759722222222223
1,11,0,0,0,1,0.24,0.44,0.2537,93,16,9.759722222222223
1,12,0,0,0,1,0.24,0.41,0.2836,104,16,9.759722222222223
1,13,0,0,0,1,0.26,0.35,0.2985,118,16,9.759722222222223
1,14,0,0,0,1,0.28,0.36,0.2537,91,16,9.759722222222223
1,15,0,0,0,1,0.26,0.38,0.2537,113,16,9.759722222222223
1,16,0,0,0,1,0.24,0.38,0.2239,99,16,9.759722222222223
1,17,0,0,0,1,0.22,0.37,0.2537,105,16,9.759722222222223
1,18,0,0,0,1,0.2,0.4,0.1642,67,16,9.759722222222223
1,19,0,0,0,1,0.18,0.47,0.1343,61,16,9.759722222222223
1,20,0,0,0,1,0.18,0.47,0.1642,57,16,9.759722222222223
1,21,0,0,0,1,0.18,0.51,0.1642,28,16,9.759722222222223
1,22,0,0,0,2,0.2,0.49,0.1343,21,16,9.759722222222223
1,23,0,0,0,2,0.2,0.4,0.1045,18,16,9.759722222222223
1,0,1,1,0,2,0.2,0.47,0.2239,17,17,9.784722222222221
1,1,1,1,0,2,0.2,0.44,0.194,16,17,9.784722222222221
1,2,1,1,0,2,0.18,0.43,0.2537,8,17,9.784722222222221
1,3,1,1,0,2,0.18,0.43,0.194,2,17,9.784722222222221
1,4,1,1,0,2,0.18,0.43,0.1343,3,17,9.784722222222221
1,5,1,1,0,2,0.18,0.43,0.1642,1,17,9.784722222222221
1,6,1,1,0,2,0.18,0.43,0.194,5,17,9.784722222222221
1,7,1,1,0,2,0.16,0.5,0.1343,13,17,9.784722222222221
1,8,1,1,0,2,0.16,0.47,0.2239,33,17,9.784722222222221
1,9,1,1,0,2,0.16,0.47,0.2239,47,17,9.784722222222221
1,10,1,1,0,2,0.16,0.5,0.2537,57,17,9.784722222222221
1,11,1,1,0,2,0.16,0.55,0.194,64,17,9.784722222222221
